30	34	55	61	86	112	202	280	356	425	512	540	514	450	398	363	318	249	189	129	70	35	9	5	2
27	36	73	127	165	215	261	322	366	430	422	407	367	348	293	306	278	227	185	121	83	75	70	60	45
8	9	6	12	21	39	77	135	223	267	239	178	184	238	258	219	141	97	56	24	8	7	6	5	4
1	2	2	7	14	36	95	165	222	234	220	259	261	222	213	198	193	153	110	72	46	29	16	6	10
32	48	76	90	92	108	188	243	258	247	267	280	270	271	276	252	206	159	129	99	72	50	28	23	25
10	14	19	34	44	86	125	198	261	289	241	219	259	273	271	236	196	140	81	54	33	24	17	7	7
3	6	11	17	40	63	102	129	164	226	293	283	229	222	257	244	175	89	45	19	17	11	4	1	1
33	48	59	68	111	134	170	173	220	258	295	309	269	236	209	220	200	161	124	91	66	50	37	28	16
93	183	215	238	232	237	207	237	280	299	276	244	254	249	244	258	251	246	193	154	121	113	106	79	64
3	5	13	18	30	36	56	92	158	194	219	199	197	171	169	155	148	116	79	46	26	17	10	6	5
14	18	21	34	42	52	71	106	137	180	218	236	209	194	197	194	173	135	110	79	51	31	26	21	12
39	43	43	56	81	96	123	158	202	227	240	221	198	178	194	187	164	127	101	75	39	18	2	1	1
56	57	52	46	58	79	111	151	227	247	230	169	178	150	188	179	166	102	54	26	11	7	3	3	5
7	7	13	21	31	56	81	112	139	173	194	229	274	246	216	177	169	156	108	73	46	33	17	13	14
4	6	6	8	25	36	63	70	131	163	209	217	289	180	160	149	195	181	155	107	68	32	28	25	22
6	14	20	25	35	50	65	87	125	179	241	241	181	138	173	211	181	143	86	54	25	21	15	12	4
1	1	5	10	16	16	33	73	101	152	170	161	139	144	163	160	139	99	70	55	30	15	7	5	5
12	6	13	14	22	37	70	119	184	175	162	128	134	172	163	155	125	89	52	19	7	3	4	6	5
11	11	12	19	31	47	72	110	151	207	225	248	262	230	121	81	130	176	142	84	52	31	14	4	1
4	4	6	8	20	52	73	106	128	176	199	176	182	189	181	167	143	100	78	61	45	30	20	13	6
5	6	15	22	29	22	34	82	132	198	215	250	210	230	197	148	88	70	55	34	22	22	16	6	3
14	23	36	47	61	75	91	114	142	161	216	196	176	134	139	141	146	114	76	54	32	33	18	8	2
8	12	16	22	20	28	53	83	131	187	225	215	161	145	149	173	124	78	15	20	11	7	3	2	4
25	30	37	43	42	53	85	113	119	146	169	186	145	149	168	174	169	139	114	79	51	31	25	24	25
17	20	33	62	74	83	97	152	170	194	170	190	181	185	157	132	100	91	73	76	61	40	24	13	10
6	10	17	33	44	51	59	95	145	196	209	190	135	139	180	199	175	112	60	30	19	10	9	5	2
3	3	5	6	9	22	54	81	119	144	145	122	99	95	97	116	99	84	52	33	12	10	5	6	6
6	9	12	14	21	32	59	86	113	131	125	139	122	115	95	125	126	109	56	27	15	9	5	6	15
4	4	5	9	12	33	58	97	101	113	139	169	177	161	134	110	100	75	53	37	22	12	9	9	9
10	10	13	18	27	39	41	66	99	146	160	162	140	138	137	140	115	82	55	32	18	8	6	3	4
2	1	1	5	14	21	36	50	91	125	161	173	161	129	108	102	111	72	42	18	8	7	2	2	2
55	42	49	69	94	106	122	144	166	164	154	161	201	194	193	157	124	93	85	66	48	37	30	26	23
12	8	9	16	22	38	57	83	111	145	128	109	100	117	130	116	96	64	37	29	15	14	9	8	6
6	7	5	8	17	29	41	69	96	170	205	197	153	153	119	133	131	131	83	63	39	30	34	36	51
19	26	28	37	42	65	72	98	129	165	203	203	178	138	136	137	136	115	83	61	28	14	7	9	6
41	60	61	80	81	96	107	135	157	173	157	152	141	164	168	148	103	91	66	48	28	22	15	15	12
3	6	7	12	18	30	62	117	159	157	133	128	145	151	136	117	86	72	55	42	29	11	7	6	9
3	6	10	14	18	30	54	76	107	124	148	172	150	164	160	135	114	91	63	46	29	24	17	16	12
4	6	8	10	11	21	42	79	99	120	112	131	98	91	94	124	116	94	57	24	15	9	7	6	7
8	11	14	23	30	36	50	75	122	154	160	139	121	141	143	139	95	66	38	23	15	10	12	9	5
6	9	12	15	20	21	35	72	119	143	149	119	94	97	123	113	69	43	35	29	22	12	13	9	6
5	6	6	11	18	39	53	76	75	102	143	145	129	101	106	104	99	94	74	42	18	11	5	1	1
5	7	14	25	49	70	79	111	125	151	141	166	155	136	144	157	153	108	80	53	45	43	39	36	30
2	3	3	5	10	16	27	36	93	133	136	93	86	103	123	127	124	91	52	25	7	6	4	3	2
118	116	98	90	101	99	124	129	161	173	182	147	159	154	133	117	120	106	75	42	27	16	8	7	5
1	2	6	9	21	30	44	51	66	97	119	126	113	109	101	81	73	59	31	17	10	7	5	5	3
7	13	20	30	33	47	65	106	123	149	154	160	150	136	119	112	107	102	87	59	40	22	20	10	5
5	18	43	55	67	87	100	108	132	188	237	205	168	137	116	121	123	109	75	50	59	60	63	51	54
5	4	4	4	13	22	30	62	102	128	119	86	73	103	102	97	90	67	50	23	14	9	7	4	4
1	1	1	3	11	18	28	41	60	96	118	116	101	98	97	95	70	51	28	18	6	3	4	3	4
8	14	15	19	31	54	63	98	142	176	184	163	152	156	160	134	107	68	50	40	43	48	33	13	10
11	22	32	40	60	76	88	74	88	118	158	160	147	121	124	133	138	126	98	80	69	67	58	43	43
2	3	3	10	15	29	38	50	86	110	122	97	111	112	106	83	82	60	36	12	7	4	2	2	3
3	5	6	8	9	7	28	46	118	190	209	171	106	86	90	135	124	80	41	33	28	15	8	8	6
16	21	23	37	50	76	100	116	131	141	152	161	178	154	141	140	128	96	60	65	47	35	17	12	5
5	13	23	34	42	59	81	115	155	159	168	157	149	151	163	167	144	101	86	54	49	58	66	72	80
1	2	3	10	17	23	38	58	87	105	104	101	90	84	84	93	88	79	56	38	19	10	5	3	2
58	61	55	60	66	73	87	109	137	142	169	173	136	109	100	135	124	105	79	63	46	28	18	10	9
10	12	15	21	42	52	52	57	82	113	124	130	98	109	112	120	92	66	46	27	19	14	15	19	19
8	9	9	14	22	35	49	72	96	145	152	147	132	126	117	97	79	87	87	61	32	15	18	16	12
2	4	4	5	12	26	39	49	76	101	132	118	93	82	109	123	117	83	58	41	24	22	9	9	8
52	63	67	87	102	107	130	154	186	202	220	199	187	171	196	189	196	191	176	154	126	110	120	133	123
2	2	2	3	4	7	19	48	69	85	92	87	109	97	98	88	76	50	33	23	15	4	4	2	2
6	11	20	24	24	38	51	62	93	125	120	108	88	78	71	87	83	68	45	25	14	9	7	9	6
3	2	2	4	5	17	35	60	98	95	78	61	69	79	92	89	75	48	27	15	6	2	1	2	3
2	4	4	4	4	6	23	48	90	98	79	38	49	80	90	89	61	48	22	11	6	4	4	5	8
37	31	21	16	21	34	45	61	100	111	118	106	102	98	92	104	108	104	71	35	13	5	3	4	3
7	10	11	19	39	54	63	69	76	89	93	93	87	74	70	72	64	49	40	26	11	12	8	5	2
13	14	11	22	30	39	52	74	87	98	123	117	93	103	115	109	88	67	43	27	17	8	7	5	2
2	2	4	6	7	16	26	47	79	117	113	82	56	74	98	105	71	50	29	23	18	11	6	5	5
2	1	1	2	3	7	12	38	104	155	141	80	53	75	83	66	36	27	28	19	11	7	4	5	6
5	3	4	4	10	21	32	40	53	61	81	84	65	55	59	77	78	56	37	22	8	3	4	3	4
19	19	25	30	48	54	64	67	75	81	95	97	77	60	82	96	78	58	45	35	14	6	4	2	3
1	1	1	1	3	9	36	65	135	198	214	192	168	170	176	195	191	157	129	133	137	144	154	171	181
28	39	34	39	49	57	55	59	82	98	116	125	131	122	130	112	91	72	53	26	15	10	14	12	10
5	7	7	11	22	30	48	62	90	98	117	96	89	79	96	106	90	59	44	37	37	28	23	13	13
4	6	10	9	16	17	32	51	80	110	133	131	113	89	98	115	109	93	58	32	18	7	7	5	5
2	8	10	20	48	76	86	68	77	106	131	133	115	90	74	62	57	41	44	35	26	10	9	5	2
2	2	2	13	25	45	57	55	57	69	101	121	144	141	136	109	94	85	70	59	50	37	17	18	19
11	16	18	14	18	25	50	70	95	94	85	77	74	79	74	68	54	44	29	16	14	9	9	9	9
21	27	29	37	57	70	84	91	127	131	156	138	131	115	114	115	101	86	59	55	46	53	55	60	55
2	2	3	6	9	15	24	53	81	93	90	85	72	58	65	73	60	38	28	14	6	4	5	9	8
20	28	52	60	69	90	109	123	123	133	143	155	151	141	107	100	84	85	72	55	43	34	35	30	32
14	14	19	32	40	48	57	74	88	106	125	121	110	106	110	113	95	73	61	42	34	22	19	12	10
3	3	2	4	9	17	28	36	61	81	92	84	82	82	90	87	78	56	48	25	16	11	10	5	5
5	6	14	31	74	130	213	154	76	1	1	8	65	95	92	44	25	20	16	8	3	3	2	4	3
3	1	4	7	10	13	22	33	62	80	82	76	63	66	61	81	81	59	40	25	14	9	4	4	2
12	16	26	34	35	40	51	59	76	91	129	147	139	117	94	93	82	96	77	58	39	26	19	17	13
13	13	18	26	29	35	46	72	98	116	112	106	94	84	83	61	52	33	42	31	23	13	5	6	6
23	33	33	38	38	46	50	66	63	79	104	102	82	72	75	64	52	41	36	26	18	12	5	5	5
16	25	31	40	48	58	57	65	68	77	94	122	107	83	76	71	81	60	43	23	31	28	22	14	8
4	2	5	7	8	12	19	40	58	76	108	115	99	74	79	96	95	72	42	18	19	12	5	4	5
13	14	12	25	29	38	40	59	80	90	106	95	106	83	84	80	69	57	36	23	17	9	8	4	7
3	3	3	5	6	13	31	60	93	99	101	73	60	60	90	95	81	46	22	10	6	7	8	6	5
4	4	1	1	6	13	27	45	52	68	54	49	48	67	66	58	44	27	17	13	8	5	6	4	2
12	15	20	31	43	61	69	82	84	104	115	142	118	112	86	78	72	69	57	45	40	31	21	14	11
4	4	3	7	13	20	25	38	63	100	126	95	62	56	87	94	80	39	25	14	8	6	5	3	3
88	89	100	112	126	109	108	141	168	189	184	163	152	141	116	105	89	83	67	45	33	29	19	13	10
4	4	3	5	5	10	25	53	81	101	96	82	72	70	69	68	57	35	27	17	12	10	5	4	2
8	10	12	13	27	38	47	42	69	102	132	123	94	61	52	62	93	75	47	15	5	4	4	3	2
7	7	7	9	15	25	37	55	63	78	83	80	77	77	82	64	53	38	31	22	11	5	4	4	2
5	7	6	6	8	20	34	55	60	90	98	105	96	95	84	73	59	53	53	42	26	8	7	11	12
28	29	33	38	42	51	79	115	131	108	78	67	94	131	127	102	57	35	22	14	11	8	7	4	4
2	2	3	5	8	10	14	20	34	51	76	77	54	57	67	71	60	37	28	17	11	10	6	2	1
5	6	4	5	10	14	22	49	70	82	91	82	77	72	83	91	78	50	34	20	20	13	12	9	7
4	6	11	17	17	18	31	45	56	82	108	112	85	66	66	58	56	45	29	13	10	7	4	2	2
15	20	21	32	41	49	58	71	76	105	119	130	121	123	120	109	110	95	81	69	53	48	43	45	35
1	1	1	2	2	3	7	21	51	89	110	91	61	55	74	78	62	45	28	17	9	9	7	4	6
1	1	5	6	9	11	18	44	59	87	83	72	42	49	60	67	57	45	30	20	13	5	4	6	7
4	3	5	5	7	12	21	37	55	63	63	65	68	66	57	40	39	37	25	17	7	5	4	5	4
2	2	3	3	6	10	24	33	44	59	72	64	44	47	61	55	41	22	12	6	4	5	2	2	2
2	4	13	17	21	24	35	48	52	65	84	85	77	69	76	67	59	44	34	24	18	11	9	11	8
10	9	19	25	31	36	45	57	66	92	115	118	99	78	80	82	81	64	41	35	22	17	14	14	14
29	25	43	80	120	119	67	22	1	1	61	134	202	190	114	33	36	73	94	86	78	67	54	48	30
37	51	49	40	31	34	42	60	86	98	92	79	72	76	79	73	63	53	32	22	12	10	5	3	3
3	7	8	11	11	22	35	42	50	63	82	100	95	79	56	48	58	56	49	29	19	18	12	15	12
1	2	4	10	13	18	19	32	64	87	93	66	43	32	53	73	65	49	32	22	10	4	4	4	2
7	9	15	23	28	37	38	44	53	79	102	106	96	93	83	73	53	52	45	33	23	17	14	9	7
5	13	13	23	27	28	39	63	65	66	72	85	80	81	85	81	68	52	33	28	27	23	19	14	10
13	15	15	13	18	22	37	52	73	90	79	66	62	68	67	59	61	42	31	20	12	1	1	1	2
6	6	8	7	11	17	32	41	57	70	89	75	67	66	78	75	57	38	24	12	6	4	3	1	2
3	3	1	1	1	5	15	25	39	51	74	73	66	44	45	55	64	61	40	29	13	6	6	8	7
33	36	32	43	37	37	43	72	94	107	104	85	85	101	97	82	71	53	36	22	12	11	5	3	3
2	2	3	8	15	24	32	53	78	87	90	73	68	74	74	64	51	37	28	24	20	9	2	1	4
